Role,Location,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_cat,Q10,Q10_cat,Q11,Q11_num,Q12,Q12_cat
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,I was able to start in school and build experience before I graduated.,Accomplishment & Growth,I feel stressed sometimes or just overwhelmed.,Other,Satisfied,80,I feel like I get rushed more than is needed because we end up getting way ahead of others.,Other
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Disagree,40,Agree,80,Strongly agree,100,Strongly disagree,20,Agree,80,Growing ,Accomplishment & Growth,Attitudes ,People & Culture,Neither satisfied nor dissatisfied,60,,Blank
Fitter,Georgia - Dublin Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Schedule,Nature of Work,N/a,No Compliants,Extremely satisfied,100,,Blank
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Working,Nature of Work,Nothing,No Compliants,Satisfied,80,,Blank
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly disagree,20,Strongly disagree,20,coworkers,People & Culture,supervisors,Management & Leadership,Neither satisfied nor dissatisfied,60,peoples attitudes ,Work Policy & Culture
Fitter,Georgia - Dublin Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Fabricating skids that are real difficult and starting from nothing to building something great,Nature of Work,Someone telling me to do something different when I am already doing it a way that takes just as long and both ways come out with the same results ,Management & Leadership,Satisfied,80,,Blank
Fitter,Georgia - Dublin Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Disagree,40,Agree,80,Consistency,Nature of Work,Learning about the schedule the week of instead of a week before,Schedule & Hours,Satisfied,80,More transparency on why they hold raises and for raises to be consistent depending on your work preferences ,Leadership Improvement
Fitter,Georgia - Dublin Shop,Disagree,40,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Coworkers ,People & Culture,Supervisor ,Management & Leadership,Satisfied,80,Different supervisor that will lead    More welding machines ,Leadership Improvement
Fitter,Georgia - Dublin Shop,Disagree,40,Neither agree nor disagree,60,Agree,80,Agree,80,Strongly disagree,20,Agree,80,My coworkers,People & Culture,Supervisor ,Management & Leadership,Satisfied,80,Get a new supervisor ,Leadership Improvement
Fitter,Georgia - Dublin Shop,Strongly agree,100,Strongly disagree,20,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Willingness to help,People & Culture,6am start time,Schedule & Hours,Extremely satisfied,100,,Blank
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,My coworkers ,People & Culture,Supervisor ,Management & Leadership,Neither satisfied nor dissatisfied,60,,Blank
Fitter,Georgia - Dublin Shop,Strongly agree,100,Disagree,40,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Learning different types of fabrication ,Accomplishment & Growth,The heat ,Working Conditions,Satisfied,80,Better training ,Training & Career Development
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Nothing ,Other,Nothing,No Compliants,Neither satisfied nor dissatisfied,60,Opportunity ,Training & Career Development
Welder,Georgia - Dublin Shop,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly disagree,20,Neither agree nor disagree,60,Profit Sharing and raises. Also great vacation time i use to travel with my family. ,Pay & Benefits,Dont get praised for doing a good job. Getting stressed with some jobs.    ,Management & Leadership,Satisfied,80,People who worked a long time get more money besides 5% raise.   Higher gas card than $50 every quarter,Better Pay & Benefits
Welder,Georgia - Dublin Shop,Disagree,40,Strongly agree,100,Neither agree nor disagree,60,Strongly disagree,20,Strongly disagree,20,Agree,80,"Coworkers, And being left alone to work unsupervised.",People & Culture,Management and lack of leadership ,Management & Leadership,Extremely dissatisfied,20,Lack of leadership ,Leadership Improvement
Machine operator,Georgia - Dublin Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,Working with wonderful co- workers and love the money,People & Culture,I don’t like it when my machine goes down for repairs ,Equipment & Resources,Extremely satisfied,100,UTO was a wonderful perk to have for medical situations. Now you have to use your PTO and points in order to handle Dr. appointments ,Work Policy & Culture
Machine operator,Georgia - Dublin Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Agree,80, Being part of a big project ,Nature of Work,Few toxic people ,People & Culture,Satisfied,80,,Blank
Machine operator,Georgia - Dublin Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Strongly disagree,20,Agree,80,"I just love coming to work everyday, I really don't take any day's off unless I'm going on vacation or something or if I'm feeling bad but the most part I love my job.",Nature of Work,Really can't say I just love coming to work.,No Compliants,Extremely satisfied,100,Trying to get better at my job.,Other
Part runner,Georgia - Dublin Shop,Agree,80,Disagree,40,Strongly disagree,20,Strongly agree,100,Agree,80,Agree,80,I feel good ,Other,I love doing what I do.,No Compliants,Extremely satisfied,100,Trying to get better at my job.,Other
Welder,Georgia - Dublin Shop,Strongly disagree,20,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Strongly disagree,20,Strongly disagree,20,The money ,Pay & Benefits,My supervisor ,Management & Leadership,Neither satisfied nor dissatisfied,60,The people that get hired and the supervisor attitude ,Leadership Improvement
Machine operator,Georgia - Dublin Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Disagree,40,Agree,80,The pay and people ,Pay & Benefits,Outdated transfers,Equipment & Resources,Extremely satisfied,100,Just machinery,Improved Equipment & Working Conditions
Crane operator,Georgia - Dublin Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,The culture of safety and teamwork ,People & Culture,Air quality. Better ventilation would improve this talked about subject among workers!,Working Conditions,Extremely satisfied,100,Nothing ,No Changes
Crane operator,Georgia - Dublin Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Agree,80,I enjoy being a crane operator  and the benefits of working here,Nature of Work,I really do not have any complaints ,No Compliants,Satisfied,80,,Blank
Crane operator,Georgia - Dublin Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,The work and co workers ,People & Culture,Gossip about other co workers ,People & Culture,Satisfied,80,Not sure ,No Changes
Welder,Georgia - Dublin Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Disagree,40,Seeing my pretty welds on the truck heading to the job site,Nature of Work,Not being able to finish the skid I’m working on… having to constantly fix welds,Equipment & Resources,Satisfied,80,,Blank
Quality control,Georgia - Dublin Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Strongly disagree,20,Strongly agree,100,The money ,Pay & Benefits,People coming in making to much money ,Pay & Benefits,Satisfied,80,The people that get hired and the amount of money people start out making we have kids coming from 9 grade that don’t know anything making 24.50 that’s crazy ,Better Pay & Benefits
Crane operator,Georgia - Dublin Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Strongly disagree,20,Disagree,40,Working at my speed the Way for me ,Nature of Work,The leader ,Management & Leadership,Satisfied,80,,Blank
Machine operator,Georgia - Dublin Shop,Agree,80,Disagree,40,Neither agree nor disagree,60,Strongly disagree,20,Disagree,40,Agree,80,Is a very good place to work ,People & Culture,So people wrong about every body else not themselves ,People & Culture,Extremely satisfied,100,Nothing at this time very is good ,No Changes
Machine operator,Georgia - Dublin Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Work hours and the work environment ,Nature of Work,Waiting on material ,Equipment & Resources,Satisfied,80,Work schedule ,Schedule & Work-Life Balance
Machine operator,Georgia - Dublin Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly disagree,20,Strongly agree,100,My position ,Nature of Work,The heat,Working Conditions,Extremely satisfied,100,N/a,No Changes
Quality control,Georgia - Dublin Shop,Disagree,40,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Disagree,40,Disagree,40,The people,People & Culture,Management ,Management & Leadership,Extremely satisfied,100,Hiring family,Work Policy & Culture
Maintenance,Georgia - Dublin Shop,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,4 day work week,Nature of Work,Having to find help when I need it.,Management & Leadership,Neither satisfied nor dissatisfied,60,,Blank
Welder,Georgia - Dublin Shop,Agree,80,Disagree,40,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,The people and my money ,People & Culture,When there is nothing to do ,Schedule & Hours,Extremely satisfied,100,Nth,No Changes
Crane operator,Georgia - Dublin Shop,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Agree,80,Strongly disagree,20,Strongly agree,100,"It’s a good paying, family oriented place. ",Pay & Benefits,"Night shift supervisor is constantly in a rush, pushing people too hard, sending out incomplete work, and treating employees like crap",Management & Leadership,Satisfied,80,"I would change night shift supervisor. Other than that, it’s a pretty great place to work",Leadership Improvement
Welder,Georgia - Dublin Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,being able to work at my own pace without being bothered,Nature of Work,some of the welding machines don’t weld as good as others. so it takes time to try and find the sweet spot on them,Equipment & Resources,Satisfied,80,nothing,No Changes
Welder,Georgia - Dublin Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Welding ,Nature of Work,Heat,Working Conditions,Satisfied,80,Nothing ,No Changes
Welder,Georgia - Dublin Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Welding,Nature of Work,The pay and that heat,Pay & Benefits,Satisfied,80,N/a,Blank
Machine operator,Georgia - Dublin Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Strongly disagree,20,Strongly disagree,20,Medical end benefits. ,Pay & Benefits,Off on fraday ,Schedule & Hours,Extremely satisfied,100,Training end personal training ,Training & Career Development
Welder,Georgia - Dublin Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Welding ,Nature of Work,N/a,No Compliants,Satisfied,80,Nothing ,No Changes
Machine operator,Georgia - Dublin Shop,Agree,80,Strongly agree,100,Disagree,40,Strongly agree,100,Disagree,40,Disagree,40,The pay,Pay & Benefits,Working night shift,Schedule & Hours,Satisfied,80,,Blank
Welder,Georgia - Dublin Shop,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,The pay,Pay & Benefits,The heat,Working Conditions,Satisfied,80,,Blank
Welder,Georgia - Dublin Shop,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly disagree,20,Neither agree nor disagree,60,Getting off,Other,The heat,Working Conditions,Satisfied,80,Better management on the night shift,Leadership Improvement
